Unnamed: 0,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,Magnitude,Sentiment
0,This Is Me,Keala Settle,broadway,2017,192,70,28,-7,4,10,235,1,19,83,6.099999905,-0.100000001
1,Rewrite The Stars,Zac Efron,hollywood,2017,125,62,68,-7,12,28,217,7,4,82,5.400000095,-0.200000003
2,Never Enough,Loren Allred,deep talent show,2017,87,39,28,-9,10,23,208,42,3,81,3.700000048,-0.200000003
3,A Million Dreams,Ziv Zaifman,hollywood,2017,55,31,27,-12,9,10,269,24,6,81,4.400000095,0.100000001
4,The Greatest Show,Hugh Jackman,hollywood,2017,158,82,42,-7,7,40,302,0,11,81,13.30000019,0.400000006
5,The Other Side,Hugh Jackman,hollywood,2017,154,80,64,-8,15,31,214,0,30,79,6.800000191,0
6,From Now On,Hugh Jackman,hollywood,2017,108,52,52,-10,59,8,350,0,4,78,10.39999962,0.200000003
7,Come Alive,Hugh Jackman,hollywood,2017,118,77,70,-9,21,24,226,1,13,78,12.39999962,0.200000003
8,A Million Dreams (Reprise),Austyn Johnson,hollywood,2017,74,14,25,-17,27,10,60,73,4,75,0.600000024,0.300000012
9,Never Enough (Reprise),Loren Allred,deep talent show,2017,82,5,38,-19,8,13,80,89,3,74,0.100000001,-0.100000001
10,Mamma Mia,Lily James,hollywood,2018,138,70,69,-7,2,57,160,47,4,74,3.200000048,0.200000003
11,Why Did It Have To Be Me?,Josh Dylan,hollywood,2018,118,78,55,-6,13,79,198,13,4,74,0,0
12,When I Kissed The Teacher,Lily James,hollywood,2018,155,85,54,-5,5,79,182,33,6,74,3.200000048,0.200000003
13,Angel Eyes,Christine Baranski,hollywood,2018,133,84,71,-7,9,93,251,20,3,73,0,0
14,"Andante, Andante",Lily James,hollywood,2018,102,39,64,-9,7,46,240,61,2,73,0,0
15,One Of Us,Amanda Seyfried,hollywood,2018,82,54,60,-8,32,82,225,45,3,73,9.300000191,0.200000003
16,Super Trouper,Cher,dance pop,2018,125,66,68,-9,7,90,231,4,3,72,0,0
17,Waterloo,Hugh Skinner,hollywood,2018,147,86,65,-6,11,65,169,9,4,72,0,0
18,Dancing Queen,Colin Firth,hollywood,2018,100,86,62,-7,31,92,221,4,3,71,0,0
19,Let It Go,Idina Menzel,broadway,2013,137,49,54,-7,12,37,224,56,3,71,5.699999809,-0.100000001
20,Fernando,Cher,dance pop,2018,112,57,41,-8,27,58,239,46,3,70,5,0.5
21,I've Been Waiting For You,Amanda Seyfried,hollywood,2018,78,37,49,-12,10,27,197,72,3,70,0,0
22,"Knowing Me, Knowing You",Jeremy Irvine,hollywood,2018,108,66,68,-8,6,68,225,8,3,70,0,0
23,The Name Of The Game,Lily James,hollywood,2018,78,62,65,-8,8,73,286,13,3,70,0,0
24,I Have A Dream,Lily James,hollywood,2018,104,32,53,-13,25,51,264,74,2,70,0,0
25,My Shot,Lin-Manuel Miranda,hollywood,2015,91,65,83,-7,9,57,333,15,32,70,24.39999962,0
